"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 32.560080 32.560080 112.040080 112.040080
4 27.065671 27.065671 106.545671 106.545671
10 7.457815 7.457815 86.937815 86.937815
49 6.669970 6.669970 86.149970 86.149970
151 6.249875 6.249875 85.729875 85.729875
232 5.861257 5.861257 85.341257 85.341257
241 5.678500 5.678500 85.158500 85.158500
246 5.662875 5.662875 85.142875 85.142875
251 5.632373 5.632373 85.112373 85.112373
252 5.530632 5.530632 85.010632 85.010632
255 5.448576 5.448576 84.928576 84.928576
262 5.426650 5.426650 84.906650 84.906650
276 5.354666 5.354666 84.834666 84.834666
284 5.138952 5.138952 84.618952 84.618952
302 4.745211 4.745211 84.225211 84.225211
322 4.733589 4.733589 84.213589 84.213589
329 4.454317 4.454317 83.934317 83.934317
343 4.404923 4.404923 83.884923 83.884923
361 4.346837 4.346837 83.826837 83.826837
362 4.189147 4.189147 83.669147 83.669147
384 3.987915 3.987915 83.467915 83.467915
409 3.875035 3.875035 83.355035 83.355035
410 3.838213 3.838213 83.318213 83.318213
417 3.796062 3.796062 83.276062 83.276062
422 3.665281 3.665281 83.145281 83.145281
428 3.449318 3.449318 82.929318 82.929318
441 3.377333 3.377333 82.857333 82.857333
445 2.882303 2.882303 82.362303 82.362303
461 2.746162 2.746162 82.226162 82.226162
463 2.620698 2.620698 82.100698 82.100698
471 2.608074 2.608074 82.088074 82.088074
472 2.556257 2.556257 82.036257 82.036257
483 2.436157 2.436157 81.916157 81.916157
490 2.342891 2.342891 81.822891 81.822891
499 2.251744 2.251744 81.731744 81.731744
502 2.211779 2.211779 81.691779 81.691779
507 2.187833 2.187833 81.667833 81.667833
512 2.175984 2.175984 81.655984 81.655984
513 2.116216 2.116216 81.596216 81.596216
521 2.049709 2.049709 81.529709 81.529709
523 2.041294 2.041294 81.521294 81.521294
527 2.036027 2.036027 81.516027 81.516027
529 1.896032 1.896032 81.376032 81.376032
540 1.813996 1.813996 81.293996 81.293996
543 1.793446 1.793446 81.273446 81.273446
546 1.679347 1.679347 81.159347 81.159347
550 1.663368 1.663368 81.143368 81.143368
561 1.517296 1.517296 80.997296 80.997296
580 1.479585 1.479585 80.959585 80.959585
587 1.363281 1.363281 80.843281 80.843281
598 1.359709 1.359709 80.839709 80.839709
600 1.357177 1.357177 80.837177 80.837177
601 1.276024 1.276024 80.756024 80.756024
604 1.275291 1.275291 80.755291 80.755291
606 1.189899 1.189899 80.669899 80.669899
627 1.071375 1.071375 80.551375 80.551375
639 1.052767 1.052767 80.532767 80.532767
641 0.927329 0.927329 80.407329 80.407329
664 0.904711 0.904711 80.384711 80.384711
668 0.903696 0.903696 80.383696 80.383696
675 0.866186 0.866186 80.346186 80.346186
679 0.826798 0.826798 80.306798 80.306798
684 0.716846 0.716846 80.196846 80.196846
702 0.601714 0.601714 80.081714 80.081714
721 0.490326 0.490326 79.970326 79.970326
728 0.487121 0.487121 79.967121 79.967121
742 0.484732 0.484732 79.964732 79.964732
750 0.479446 0.479446 79.959446 79.959446
754 0.467852 0.467852 79.947852 79.947852
764 0.446381 0.446381 79.926381 79.926381
768 0.418187 0.418187 79.898187 79.898187
773 0.412427 0.412427 79.892427 79.892427
781 0.403682 0.403682 79.883682 79.883682
786 0.394252 0.394252 79.874252 79.874252
796 0.374834 0.374834 79.854834 79.854834
807 0.368742 0.368742 79.848742 79.848742
809 0.340976 0.340976 79.820976 79.820976
810 0.320215 0.320215 79.800215 79.800215
822 0.294643 0.294643 79.774643 79.774643
823 0.283885 0.283885 79.763885 79.763885
840 0.271440 0.271440 79.751440 79.751440
841 0.234963 0.234963 79.714963 79.714963
860 0.229374 0.229374 79.709374 79.709374
863 0.229106 0.229106 79.709106 79.709106
865 0.208824 0.208824 79.688824 79.688824
873 0.191481 0.191481 79.671481 79.671481
884 0.177221 0.177221 79.657221 79.657221
886 0.174249 0.174249 79.654249 79.654249
893 0.145923 0.145923 79.625923 79.625923
907 0.123885 0.123885 79.603885 79.603885
924 0.113709 0.113709 79.593709 79.593709
929 0.107308 0.107308 79.587308 79.587308
942 0.105816 0.105816 79.585816 79.585816
944 0.082685 0.082685 79.562685 79.562685
965 0.076052 0.076052 79.556052 79.556052
966 0.072781 0.072781 79.552781 79.552781
969 0.071643 0.071643 79.551643 79.551643
981 0.065736 0.065736 79.545736 79.545736
982 0.063567 0.063567 79.543567 79.543567
987 0.060704 0.060704 79.540704 79.540704
994 0.044479 0.044479 79.524479 79.524479
1001 0.030335 0.030335 79.510335 79.510335
1025 0.029413 0.029413 79.509413 79.509413
1029 0.024873 0.024873 79.504873 79.504873
1033 0.021197 0.021197 79.501197 79.501197
1045 0.019253 0.019253 79.499253 79.499253
1046 0.018745 0.018745 79.498745 79.498745
1047 0.015252 0.015252 79.495252 79.495252
1052 0.014151 0.014151 79.494151 79.494151
1065 0.012573 0.012573 79.492573 79.492573
1069 0.009603 0.009603 79.489603 79.489603
1076 0.009086 0.009086 79.489086 79.489086
1083 0.006638 0.006638 79.486638 79.486638
1087 0.003898 0.003898 79.483898 79.483898
1091 0.003404 0.003404 79.483404 79.483404
1103 0.003255 0.003255 79.483255 79.483255
1107 0.001790 0.001790 79.481790 79.481790
1116 0.000632 0.000632 79.480632 79.480632
1130 0.000289 0.000289 79.480289 79.480289
1201 0.000248 0.000248 79.480248 79.480248
1237 0.000218 0.000218 79.480218 79.480218
1263 0.000214 0.000214 79.480214 79.480214
1346 0.000139 0.000139 79.480139 79.480139
1356 0.000050 0.000050 79.480050 79.480050
