"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
19 239.059664 239.059664 -223.030336 -223.030336
71 203.564027 203.564027 -258.525973 -258.525973
172 192.339765 192.339765 -269.750235 -269.750235
233 181.343535 181.343535 -280.746465 -280.746465
271 176.779249 176.779249 -285.310751 -285.310751
290 172.935046 172.935046 -289.154954 -289.154954
305 171.796787 171.796787 -290.293213 -290.293213
306 170.910837 170.910837 -291.179163 -291.179163
307 167.672491 167.672491 -294.417509 -294.417509
322 161.149018 161.149018 -300.940982 -300.940982
364 159.594706 159.594706 -302.495294 -302.495294
434 157.900542 157.900542 -304.189458 -304.189458
436 156.607244 156.607244 -305.482756 -305.482756
466 152.470648 152.470648 -309.619352 -309.619352
519 151.470563 151.470563 -310.619437 -310.619437
545 148.447482 148.447482 -313.642518 -313.642518
556 147.989847 147.989847 -314.100153 -314.100153
609 146.750479 146.750479 -315.339521 -315.339521
637 145.304484 145.304484 -316.785516 -316.785516
705 143.909424 143.909424 -318.180576 -318.180576
724 143.903386 143.903386 -318.186614 -318.186614
748 143.125754 143.125754 -318.964246 -318.964246
767 142.498918 142.498918 -319.591082 -319.591082
919 142.460177 142.460177 -319.629823 -319.629823
966 142.424862 142.424862 -319.665138 -319.665138
999 142.337720 142.337720 -319.752280 -319.752280
1397 142.306756 142.306756 -319.783244 -319.783244
1709 142.299647 142.299647 -319.790353 -319.790353
1840 142.294810 142.294810 -319.795190 -319.795190
2022 142.283626 142.283626 -319.806374 -319.806374
2236 142.282558 142.282558 -319.807442 -319.807442
2245 142.278204 142.278204 -319.811796 -319.811796
2282 142.277326 142.277326 -319.812674 -319.812674
2432 142.276739 142.276739 -319.813261 -319.813261
2795 142.276424 142.276424 -319.813576 -319.813576
2845 142.276211 142.276211 -319.813789 -319.813789
2899 142.275748 142.275748 -319.814252 -319.814252
3293 142.275657 142.275657 -319.814343 -319.814343
3520 142.275647 142.275647 -319.814353 -319.814353
3702 142.275580 142.275580 -319.814420 -319.814420
4386 142.275576 142.275576 -319.814424 -319.814424
4831 142.275576 142.275576 -319.814424 -319.814424
4854 142.275576 142.275576 -319.814424 -319.814424
4880 142.275576 142.275576 -319.814424 -319.814424
4887 142.275574 142.275574 -319.814426 -319.814426
4907 142.275574 142.275574 -319.814426 -319.814426
5001 142.275574 142.275574 -319.814426 -319.814426
5035 142.275574 142.275574 -319.814426 -319.814426
5107 142.275573 142.275573 -319.814427 -319.814427
5176 142.275573 142.275573 -319.814427 -319.814427
5246 142.275572 142.275572 -319.814428 -319.814428
5382 142.275572 142.275572 -319.814428 -319.814428
5455 142.275572 142.275572 -319.814428 -319.814428
5621 142.275572 142.275572 -319.814428 -319.814428
6010 142.275572 142.275572 -319.814428 -319.814428
6017 142.275572 142.275572 -319.814428 -319.814428
