"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
970 93381.777320 93381.777320 93171.897320 93171.897320
977 93060.798402 93060.798402 92850.918402 92850.918402
979 91437.845388 91437.845388 91227.965388 91227.965388
984 91352.544063 91352.544063 91142.664063 91142.664063
991 89983.762050 89983.762050 89773.882050 89773.882050
1003 86176.957781 86176.957781 85967.077781 85967.077781
1021 83703.332370 83703.332370 83493.452370 83493.452370
1039 83085.573286 83085.573286 82875.693286 82875.693286
1042 81495.477671 81495.477671 81285.597671 81285.597671
1047 81269.277238 81269.277238 81059.397238 81059.397238
1049 81121.766322 81121.766322 80911.886322 80911.886322
1063 79249.076157 79249.076157 79039.196157 79039.196157
1064 78054.184999 78054.184999 77844.304999 77844.304999
1067 76944.636304 76944.636304 76734.756304 76734.756304
1082 76236.677551 76236.677551 76026.797551 76026.797551
1083 75768.126315 75768.126315 75558.246315 75558.246315
1084 75014.293900 75014.293900 74804.413900 74804.413900
1087 74600.420497 74600.420497 74390.540497 74390.540497
1091 73536.912883 73536.912883 73327.032883 73327.032883
1101 73502.142948 73502.142948 73292.262948 73292.262948
1103 71613.547187 71613.547187 71403.667187 71403.667187
1108 69797.927859 69797.927859 69588.047859 69588.047859
1121 66529.427804 66529.427804 66319.547804 66319.547804
1136 65598.813544 65598.813544 65388.933544 65388.933544
1144 64823.682729 64823.682729 64613.802729 64613.802729
1145 61712.559543 61712.559543 61502.679543 61502.679543
1158 60937.926486 60937.926486 60728.046486 60728.046486
1162 59788.743450 59788.743450 59578.863450 59578.863450
1172 58251.083079 58251.083079 58041.203079 58041.203079
1184 55065.082402 55065.082402 54855.202402 54855.202402
1204 54527.930259 54527.930259 54318.050259 54318.050259
1206 53753.225319 53753.225319 53543.345319 53543.345319
1218 53341.620221 53341.620221 53131.740221 53131.740221
1221 52748.051345 52748.051345 52538.171345 52538.171345
1224 52019.216417 52019.216417 51809.336417 51809.336417
1227 50909.167068 50909.167068 50699.287068 50699.287068
1241 48139.770475 48139.770475 47929.890475 47929.890475
1262 46227.463858 46227.463858 46017.583858 46017.583858
1273 45447.628308 45447.628308 45237.748308 45237.748308
1281 45383.735993 45383.735993 45173.855993 45173.855993
1283 44732.669970 44732.669970 44522.789970 44522.789970
1285 44473.323114 44473.323114 44263.443114 44263.443114
1286 43742.709291 43742.709291 43532.829291 43532.829291
1289 42920.796441 42920.796441 42710.916441 42710.916441
1299 42848.924822 42848.924822 42639.044822 42639.044822
1301 42693.762536 42693.762536 42483.882536 42483.882536
1303 41596.474775 41596.474775 41386.594775 41386.594775
1313 41090.818733 41090.818733 40880.938733 40880.938733
1318 40117.149914 40117.149914 39907.269914 39907.269914
1321 39885.269052 39885.269052 39675.389052 39675.389052
1322 38371.545996 38371.545996 38161.665996 38161.665996
1341 38252.916631 38252.916631 38043.036631 38043.036631
1352 36831.123607 36831.123607 36621.243607 36621.243607
1356 36583.756025 36583.756025 36373.876025 36373.876025
1362 36274.372996 36274.372996 36064.492996 36064.492996
1367 34359.456699 34359.456699 34149.576699 34149.576699
1382 32277.363684 32277.363684 32067.483684 32067.483684
1402 31472.308538 31472.308538 31262.428538 31262.428538
1404 31418.510748 31418.510748 31208.630748 31208.630748
1418 30828.208131 30828.208131 30618.328131 30618.328131
1422 30118.415747 30118.415747 29908.535747 29908.535747
1423 29830.379218 29830.379218 29620.499218 29620.499218
1424 29157.952980 29157.952980 28948.072980 28948.072980
1443 28814.526078 28814.526078 28604.646078 28604.646078
1450 28520.677527 28520.677527 28310.797527 28310.797527
1460 28280.866059 28280.866059 28070.986059 28070.986059
1464 27544.754113 27544.754113 27334.874113 27334.874113
1465 27347.491130 27347.491130 27137.611130 27137.611130
1470 27118.662270 27118.662270 26908.782270 26908.782270
1474 26157.965918 26157.965918 25948.085918 25948.085918
1482 26111.188989 26111.188989 25901.308989 25901.308989
1484 25959.449519 25959.449519 25749.569519 25749.569519
1486 25842.322626 25842.322626 25632.442626 25632.442626
1487 25388.407229 25388.407229 25178.527229 25178.527229
1490 25227.375446 25227.375446 25017.495446 25017.495446
1501 24979.692806 24979.692806 24769.812806 24769.812806
1506 24756.835774 24756.835774 24546.955774 24546.955774
1512 24210.570816 24210.570816 24000.690816 24000.690816
1516 23621.043386 23621.043386 23411.163386 23411.163386
1521 23052.215035 23052.215035 22842.335035 22842.335035
1525 22104.124106 22104.124106 21894.244106 21894.244106
1541 21490.973022 21490.973022 21281.093022 21281.093022
1544 21148.375062 21148.375062 20938.495062 20938.495062
1563 20887.784041 20887.784041 20677.904041 20677.904041
1568 20887.443203 20887.443203 20677.563203 20677.563203
1569 19413.581025 19413.581025 19203.701025 19203.701025
1581 18824.008120 18824.008120 18614.128120 18614.128120
1586 18671.842292 18671.842292 18461.962292 18461.962292
1596 17909.395558 17909.395558 17699.515558 17699.515558
1604 17819.403083 17819.403083 17609.523083 17609.523083
1605 17433.957420 17433.957420 17224.077420 17224.077420
1607 17082.124652 17082.124652 16872.244652 16872.244652
1617 16904.842880 16904.842880 16694.962880 16694.962880
1621 16430.982325 16430.982325 16221.102325 16221.102325
1637 15941.582297 15941.582297 15731.702297 15731.702297
1642 15615.202059 15615.202059 15405.322059 15405.322059
1647 15455.700996 15455.700996 15245.820996 15245.820996
1657 15299.494230 15299.494230 15089.614230 15089.614230
1664 15036.019005 15036.019005 14826.139005 14826.139005
